user_id,total_transactions,total_amount_sent,total_amount_received,avg_transaction_amount,max_transaction_amount,std_transaction_amount,total_fees_paid,weekend_transactions,first_tx_date,last_tx_date,send_receive_ratio,weekend_ratio,active_months,tx_per_month,days_since_last_tx,avg_monthly_amount,tx_type_diversity,most_common_tx_type
USER_026,57,614100.0,511100.0,20489.473684210527,66200.0,18181.639917102857,13614.0,16,2024-03-24,2025-02-24,1.202,0.281,11.2,5.09,5,104291.0,8,Receive Money
USER_027,45,1061200.0,886100.0,48895.555555555555,116900.0,38474.46588651394,32971.0,16,2024-03-05,2025-02-22,1.198,0.356,11.8,3.81,7,186292.0,8,Receive Money
USER_028,26,636800.0,503400.0,46838.46153846154,116900.0,41762.51023990849,14298.0,7,2024-03-18,2025-01-25,1.265,0.269,10.4,2.5,35,117096.0,8,Receive Money
USER_029,60,951900.0,556400.0,25675.0,69500.0,20253.4585872577,20187.0,22,2024-03-08,2025-02-22,1.711,0.367,11.7,5.13,7,131713.0,8,Send Money
USER_030,62,1037400.0,720900.0,29614.516129032258,88300.0,26123.463774892032,22232.0,19,2024-03-02,2025-02-17,1.439,0.306,11.7,5.3,12,156957.0,8,Buy Airtime
USER_031,83,1693900.0,916800.0,32465.060240963856,99200.0,27841.044598319135,33999.0,29,2024-03-16,2025-02-28,1.848,0.349,11.6,7.16,1,232450.0,8,Send Money
USER_032,23,892500.0,283300.0,57913.04347826087,116900.0,35670.618216573836,20122.0,3,2024-03-27,2025-02-07,3.15,0.13,10.6,2.17,22,125671.0,7,Receive Money
USER_033,95,2993150.0,2312400.0,60122.63157894737,116900.0,41625.46196051946,77795.0,26,2024-03-04,2025-02-23,1.294,0.274,11.9,7.98,6,479779.0,8,Receive Money
USER_034,41,680400.0,336900.0,24980.48780487805,69300.0,19057.41613535522,13203.0,7,2024-03-11,2025-02-27,2.02,0.171,11.8,3.47,2,86682.0,8,Send Money
USER_035,37,790500.0,1276900.0,58302.7027027027,116900.0,39759.195208198114,28023.0,14,2024-04-08,2025-02-12,0.619,0.378,10.3,3.59,17,209307.0,8,Receive Money
USER_036,53,1053600.0,509700.0,30622.64150943396,74500.0,22182.266318888385,19694.0,11,2024-03-20,2025-02-26,2.067,0.208,11.4,4.65,3,142395.0,8,Send Money
USER_037,29,200400.0,153100.0,12203.448275862069,34900.0,10480.747068472767,4402.0,7,2024-03-27,2025-02-11,1.309,0.241,10.7,2.71,18,33071.0,8,Receive Money
USER_038,72,1393600.0,831900.0,33194.444444444445,99600.0,24695.502748983246,29167.0,18,2024-03-10,2025-02-26,1.675,0.25,11.8,6.1,3,202486.0,8,Receive Money
USER_039,101,1145900.0,1131100.0,23025.742574257427,66300.0,19006.59176951695,28141.0,24,2024-03-01,2025-02-28,1.013,0.238,12.1,8.35,1,192265.0,8,Receive Money
USER_040,83,1004600.0,779700.0,22628.9156626506,66100.0,17480.480613198542,21888.0,19,2024-03-09,2025-02-18,1.288,0.229,11.5,7.22,11,163381.0,8,Receive Money
USER_041,11,135900.0,171800.0,27972.727272727272,63000.0,22041.419686993435,3937.0,1,2024-03-22,2025-02-07,0.791,0.091,10.7,1.03,22,28812.0,6,Send Money
USER_042,31,589900.0,281300.0,28103.225806451614,79100.0,23426.900262603638,12511.0,8,2024-03-16,2025-02-11,2.097,0.258,11.1,2.79,18,78408.0,7,Send Money
USER_043,65,1422300.0,713300.0,34130.769230769234,96800.0,27578.39917329391,27667.0,21,2024-03-14,2025-02-28,1.994,0.323,11.7,5.56,1,189767.0,8,Receive Money
USER_044,84,2605900.0,1973600.0,55388.09523809524,116900.0,42091.75978871995,56829.0,34,2024-03-15,2025-02-27,1.32,0.405,11.6,7.24,2,401010.0,8,Receive Money
USER_045,32,968800.0,785400.0,60475.0,116900.0,45415.16018020357,25838.0,10,2024-03-12,2024-12-21,1.234,0.312,9.5,3.37,70,203801.0,8,Deposit Cash
USER_046,63,2773100.0,1583400.0,73030.15873015873,116900.0,41844.9119538566,74003.0,17,2024-03-05,2025-02-12,1.751,0.27,11.5,5.48,17,400205.0,8,Pay Bill
USER_047,5,135600.0,73700.0,41860.0,116900.0,51198.12496566647,2628.0,2,2024-05-11,2025-01-08,1.84,0.4,8.1,0.62,52,25953.0,5,Buy Airtime
USER_048,11,133700.0,30100.0,14890.90909090909,34600.0,13998.88956635165,2099.0,3,2024-05-23,2025-01-10,4.442,0.273,7.7,1.43,50,21294.0,5,Buy Airtime
USER_049,28,408100.0,234400.0,23671.428571428572,53700.0,16137.232245656767,7379.0,9,2024-03-09,2025-02-26,1.741,0.321,11.8,2.37,3,56101.0,7,Receive Money
USER_050,71,749000.0,740600.0,21845.070422535213,69700.0,18147.914392036455,18625.0,12,2024-03-10,2025-02-25,1.011,0.169,11.7,6.07,4,132600.0,8,Receive Money
USER_051,12,359300.0,179600.0,44908.333333333336,116900.0,36141.048390823955,7354.0,3,2024-04-10,2025-02-20,2.001,0.25,10.5,1.14,9,51196.0,5,Buy Airtime
USER_052,30,1235300.0,581100.0,66223.33333333333,116900.0,39664.8344501023,21386.0,6,2024-03-03,2025-02-12,2.126,0.2,11.5,2.61,17,172843.0,8,Send Money
USER_053,92,1110500.0,975000.0,23138.043478260868,68000.0,18919.347864090996,26398.0,19,2024-03-04,2025-02-24,1.139,0.207,11.9,7.73,5,178857.0,8,Receive Money
USER_054,26,556000.0,211100.0,30073.076923076922,79000.0,26154.28924964022,10668.0,8,2024-04-01,2025-02-24,2.634,0.308,11.0,2.36,5,70972.0,7,Send Money
USER_055,57,485900.0,600100.0,21698.245614035088,64800.0,16045.36527683829,17494.0,20,2024-03-17,2025-02-22,0.81,0.351,11.4,5.0,7,108491.0,8,Receive Money
USER_056,8,109100.0,29400.0,17312.5,55800.0,19239.203837106,1710.0,4,2024-03-02,2024-12-01,3.711,0.5,9.1,0.88,90,15235.0,5,Receive Money
USER_057,10,234400.0,13900.0,28020.0,71900.0,24370.875149562347,3654.0,4,2024-05-19,2025-02-08,16.863,0.4,8.8,1.14,21,31943.0,7,Send Money
USER_058,28,182900.0,300800.0,18414.285714285714,66200.0,17729.316886126133,6678.0,10,2024-03-09,2025-02-24,0.608,0.357,11.7,2.39,5,44010.0,8,Receive Money
USER_059,57,1087800.0,1355500.0,45368.42105263158,116900.0,39191.353628678364,31710.0,18,2024-03-25,2025-02-26,0.803,0.316,11.3,5.04,3,228657.0,8,Receive Money
USER_060,15,216000.0,179000.0,28086.666666666668,84600.0,22407.806887864095,6245.0,4,2024-03-21,2025-02-08,1.207,0.267,10.8,1.39,21,39040.0,8,Send Money
