user_id,age,gender,zone,zone_type,profession,education_level,monthly_income_range,household_size,smartphone_owner,years_using_mm,activity_segment,total_transactions,avg_transaction_amount,max_transaction_amount,std_transaction_amount,total_fees_paid,weekend_transactions,send_receive_ratio,weekend_ratio,active_months,tx_per_month,days_since_last_tx,avg_monthly_amount,tx_type_diversity,education_encoded,income_encoded,zone_encoded,activity_label,gender_encoded,smartphone_encoded,primary_mm_use_Both,primary_mm_use_Business,primary_mm_use_Personal,mm_provider_Both,mm_provider_MTN Mobile Money,mm_provider_Orange Money
USER_011,26,Male,Bafoussam - Ouest,urban,Student,Primary,"50,000-100,000 XAF",4,No,6.8,Medium,47,24451.063829787236,66700.0,17166.003717414023,13618.0,11,1.909,0.234,12.1,3.88,3,94870.0,7,1,1,2,1,1,0,False,True,False,False,True,False
USER_012,63,Male,Bafoussam - Ouest,urban,Student,Primary,"Above 500,000 XAF",3,Yes,4.0,Medium,35,74394.28571428571,116900.0,44151.39690586807,45856.0,13,1.394,0.371,11.5,3.04,9,226159.0,8,1,4,2,1,1,1,False,False,True,False,False,True
USER_013,38,Female,Garoua - Nord,suburban,IT Professional,University,"100,000-200,000 XAF",2,Yes,1.1,High,61,35747.54098360656,90400.0,25789.685318988653,29959.0,15,1.6,0.246,12.0,5.08,4,181598.0,8,4,2,1,2,0,1,False,True,False,False,False,True
USER_014,56,Male,Yaoundé - Centre,urban,Trader/Merchant,Vocational,"200,000-500,000 XAF",4,Yes,5.0,Medium,30,44453.333333333336,116900.0,36259.08431555186,15698.0,3,3.531,0.1,11.8,2.54,9,112911.0,7,3,3,2,1,1,1,False,False,True,False,True,False
USER_015,36,Female,Yaoundé - Centre,urban,Driver/Transport,Primary,"200,000-500,000 XAF",3,No,3.9,Medium,18,62361.11111111111,116900.0,35251.26846093024,15119.0,5,1.783,0.278,10.9,1.65,26,102896.0,7,1,3,2,1,0,0,False,True,False,False,False,True
USER_016,30,Male,Ngaoundéré - Adamaoua,rural,Teacher,University,"100,000-200,000 XAF",6,No,6.3,Low,8,40737.5,85800.0,29724.58998876183,3845.0,4,3.737,0.5,8.9,0.9,89,36664.0,6,4,2,0,0,1,0,True,False,False,False,True,False
USER_017,57,Female,Kribi - Sud,suburban,Self-Employed,Vocational,"Below 50,000 XAF",5,Yes,5.0,Low,5,11360.0,23500.0,9922.096552644507,573.0,1,3.939,0.2,3.7,1.35,239,15336.0,3,3,0,1,0,0,1,False,False,True,False,False,True
USER_018,46,Male,Bamenda - Nord-Ouest,suburban,Student,Vocational,"Below 50,000 XAF",7,Yes,3.8,Medium,23,9908.695652173914,37600.0,9476.425920216116,2963.0,9,4.009,0.391,11.6,1.98,7,19619.0,7,3,0,1,1,1,1,True,False,False,False,False,True
USER_019,46,Male,Garoua - Nord,suburban,Healthcare Worker,Secondary,"Above 500,000 XAF",6,Yes,1.8,High,69,63486.95652173913,116900.0,43682.16728975835,70280.0,16,2.784,0.232,11.9,5.8,3,368224.0,8,2,4,1,2,1,1,False,True,False,False,False,True
USER_020,50,Male,Yaoundé - Centre,urban,Student,No formal education,"Above 500,000 XAF",1,No,2.6,Medium,40,60492.5,116900.0,44927.99588344181,39552.0,9,2.227,0.225,12.0,3.33,1,201440.0,7,0,4,2,1,1,0,True,False,False,True,False,False
USER_021,42,Female,Maroua - Extrême-Nord,rural,Farmer,Secondary,"50,000-100,000 XAF",3,Yes,5.0,Medium,30,21446.666666666668,64000.0,17684.451252214585,8154.0,9,1.907,0.3,11.9,2.52,3,54046.0,8,2,1,0,1,0,1,False,False,True,True,False,False
USER_022,43,Male,Garoua - Nord,suburban,Healthcare Worker,Secondary,"100,000-200,000 XAF",2,Yes,4.1,Medium,45,33482.22222222222,98700.0,28922.076255855063,18394.0,20,1.4,0.444,10.8,4.17,14,139621.0,8,2,2,1,1,1,1,True,False,False,False,False,True
USER_023,32,Male,Douala - Littoral,urban,Self-Employed,University,"100,000-200,000 XAF",7,No,6.3,High,100,35679.5,99400.0,25602.146468370167,46419.0,38,1.557,0.38,12.0,8.33,4,297210.0,8,4,2,2,2,1,0,False,True,False,False,False,True
USER_024,34,Male,Yaoundé - Centre,urban,IT Professional,University,"100,000-200,000 XAF",4,Yes,4.0,High,80,36170.0,98700.0,26632.137243886667,36488.0,24,1.859,0.3,12.1,6.61,2,239084.0,8,4,2,2,2,1,1,False,False,True,False,True,False
USER_025,33,Female,Douala - Littoral,urban,Teacher,Vocational,"200,000-500,000 XAF",3,Yes,6.8,Medium,38,51481.57894736842,116900.0,42166.11842920202,27576.0,12,0.613,0.316,11.8,3.22,4,165771.0,8,3,3,2,1,0,1,False,True,False,False,True,False
USER_026,50,Male,Douala - Littoral,urban,Trader/Merchant,Secondary,"50,000-100,000 XAF",5,Yes,2.1,High,57,20489.473684210527,66200.0,18181.639917102857,13614.0,16,1.202,0.281,11.2,5.09,5,104291.0,8,2,1,2,2,1,1,False,False,True,False,True,False
USER_027,42,Female,Bamenda - Nord-Ouest,suburban,Teacher,Vocational,"200,000-500,000 XAF",2,Yes,1.5,High,45,48895.555555555555,116900.0,38474.46588651394,32971.0,16,1.198,0.356,11.8,3.81,7,186292.0,8,3,3,1,2,0,1,True,False,False,False,False,True
USER_028,24,Male,Yaoundé - Centre,urban,Student,Secondary,"200,000-500,000 XAF",5,Yes,0.8,Medium,26,46838.46153846154,116900.0,41762.51023990849,14298.0,7,1.265,0.269,10.4,2.5,35,117096.0,8,2,3,2,1,1,1,False,False,True,False,False,True
USER_029,62,Female,Douala - Littoral,urban,Unemployed,Vocational,"50,000-100,000 XAF",5,Yes,0.7,Medium,60,25675.0,69500.0,20253.4585872577,20187.0,22,1.711,0.367,11.7,5.13,7,131713.0,8,3,1,2,1,0,1,False,False,True,False,False,True
USER_030,44,Female,Garoua - Nord,suburban,Civil Servant,Vocational,"100,000-200,000 XAF",5,No,1.8,High,62,29614.516129032258,88300.0,26123.463774892032,22232.0,19,1.439,0.306,11.7,5.3,12,156957.0,8,3,2,1,2,0,0,False,True,False,False,False,True
USER_031,31,Male,Douala - Littoral,urban,Trader/Merchant,Vocational,"100,000-200,000 XAF",2,Yes,3.7,High,83,32465.060240963856,99200.0,27841.044598319135,33999.0,29,1.848,0.349,11.6,7.16,1,232450.0,8,3,2,2,2,1,1,False,True,False,False,True,False
USER_032,49,Male,Maroua - Extrême-Nord,rural,Self-Employed,University,"200,000-500,000 XAF",2,No,3.2,Medium,23,57913.04347826087,116900.0,35670.618216573836,20122.0,3,3.15,0.13,10.6,2.17,22,125671.0,7,4,3,0,1,1,0,True,False,False,True,False,False
USER_033,35,Female,Douala - Littoral,urban,Teacher,Secondary,"200,000-500,000 XAF",2,Yes,3.0,High,95,60122.63157894737,116900.0,41625.46196051946,77795.0,26,1.294,0.274,11.9,7.98,6,479779.0,8,2,3,2,2,0,1,False,False,True,False,False,True
USER_034,32,Male,Yaoundé - Centre,urban,Driver/Transport,University,"50,000-100,000 XAF",4,Yes,1.1,Medium,41,24980.48780487805,69300.0,19057.41613535522,13203.0,7,2.02,0.171,11.8,3.47,2,86682.0,8,4,1,2,1,1,1,False,False,True,False,True,False
USER_035,44,Female,Yaoundé - Centre,urban,Teacher,University,"200,000-500,000 XAF",4,Yes,6.3,Medium,37,58302.7027027027,116900.0,39759.195208198114,28023.0,14,0.619,0.378,10.3,3.59,17,209307.0,8,4,3,2,1,0,1,False,False,True,False,True,False
USER_036,34,Male,Yaoundé - Centre,urban,Unemployed,University,"100,000-200,000 XAF",3,Yes,1.5,Medium,53,30622.64150943396,74500.0,22182.266318888385,19694.0,11,2.067,0.208,11.4,4.65,3,142395.0,8,4,2,2,1,1,1,False,False,True,True,False,False
USER_037,41,Male,Garoua - Nord,suburban,Student,University,"Below 50,000 XAF",4,No,3.0,Medium,29,12203.448275862069,34900.0,10480.747068472767,4402.0,7,1.309,0.241,10.7,2.71,18,33071.0,8,4,0,1,1,1,0,False,False,True,False,False,True
USER_038,49,Male,Douala - Littoral,urban,Trader/Merchant,Secondary,"100,000-200,000 XAF",7,No,4.9,High,72,33194.444444444445,99600.0,24695.502748983246,29167.0,18,1.675,0.25,11.8,6.1,3,202486.0,8,2,2,2,2,1,0,True,False,False,False,False,True
USER_039,30,Male,Bafoussam - Ouest,urban,Driver/Transport,University,"50,000-100,000 XAF",4,Yes,6.8,High,101,23025.742574257427,66300.0,19006.59176951695,28141.0,24,1.013,0.238,12.1,8.35,1,192265.0,8,4,1,2,2,1,1,True,False,False,False,False,True
USER_040,41,Female,Bamenda - Nord-Ouest,suburban,Student,Vocational,"50,000-100,000 XAF",4,Yes,3.5,High,83,22628.9156626506,66100.0,17480.480613198542,21888.0,19,1.288,0.229,11.5,7.22,11,163381.0,8,3,1,1,2,0,1,False,True,False,False,True,False
USER_041,35,Female,Yaoundé - Centre,urban,Driver/Transport,Secondary,"50,000-100,000 XAF",7,Yes,6.6,Low,11,27972.727272727272,63000.0,22041.419686993435,3937.0,1,0.791,0.091,10.7,1.03,22,28812.0,6,2,1,2,0,0,1,False,False,True,False,True,False
USER_042,37,Female,Ngaoundéré - Adamaoua,rural,Unemployed,University,"100,000-200,000 XAF",6,Yes,3.0,Medium,31,28103.225806451614,79100.0,23426.900262603638,12511.0,8,2.097,0.258,11.1,2.79,18,78408.0,7,4,2,0,1,0,1,True,False,False,False,False,True
USER_043,63,Female,Ngaoundéré - Adamaoua,rural,Civil Servant,No formal education,"100,000-200,000 XAF",5,No,5.2,High,65,34130.769230769234,96800.0,27578.39917329391,27667.0,21,1.994,0.323,11.7,5.56,1,189767.0,8,0,2,0,2,0,0,True,False,False,False,False,True
USER_044,52,Male,Yaoundé - Centre,urban,Driver/Transport,Primary,"200,000-500,000 XAF",1,Yes,1.2,High,84,55388.09523809524,116900.0,42091.75978871995,56829.0,34,1.32,0.405,11.6,7.24,2,401010.0,8,1,3,2,2,1,1,False,True,False,False,True,False
USER_045,47,Male,Kribi - Sud,suburban,Civil Servant,University,"200,000-500,000 XAF",6,Yes,5.4,Medium,32,60475.0,116900.0,45415.16018020357,25838.0,10,1.234,0.312,9.5,3.37,70,203801.0,8,4,3,1,1,1,1,False,False,True,False,True,False
USER_046,45,Female,Yaoundé - Centre,urban,Healthcare Worker,Vocational,"Above 500,000 XAF",7,Yes,4.1,High,63,73030.15873015873,116900.0,41844.9119538566,74003.0,17,1.751,0.27,11.5,5.48,17,400205.0,8,3,4,2,2,0,1,False,True,False,False,False,True
USER_047,38,Female,Douala - Littoral,urban,Unemployed,University,"200,000-500,000 XAF",1,No,2.6,Low,5,41860.0,116900.0,51198.12496566647,2628.0,2,1.84,0.4,8.1,0.62,52,25953.0,5,4,3,2,0,0,0,False,False,True,False,False,True
USER_048,45,Male,Yaoundé - Centre,urban,Driver/Transport,Vocational,"100,000-200,000 XAF",7,Yes,6.2,Low,11,14890.90909090909,34600.0,13998.88956635165,2099.0,3,4.442,0.273,7.7,1.43,50,21294.0,5,3,2,2,0,1,1,False,False,True,False,True,False
USER_049,41,Female,Garoua - Nord,suburban,Trader/Merchant,No formal education,"50,000-100,000 XAF",2,Yes,1.8,Medium,28,23671.428571428572,53700.0,16137.232245656767,7379.0,9,1.741,0.321,11.8,2.37,3,56101.0,7,0,1,1,1,0,1,False,False,True,False,False,True
USER_050,35,Male,Bamenda - Nord-Ouest,suburban,Driver/Transport,Primary,"50,000-100,000 XAF",4,Yes,6.1,Medium,71,21845.070422535213,69700.0,18147.914392036455,18625.0,12,1.011,0.169,11.7,6.07,4,132600.0,8,1,1,1,1,1,1,False,False,True,False,True,False
USER_051,22,Female,Maroua - Extrême-Nord,rural,Self-Employed,Vocational,"200,000-500,000 XAF",3,Yes,5.1,Low,12,44908.333333333336,116900.0,36141.048390823955,7354.0,3,2.001,0.25,10.5,1.14,9,51196.0,5,3,3,0,0,0,1,True,False,False,False,True,False
USER_052,59,Male,Bafoussam - Ouest,urban,Civil Servant,Secondary,"200,000-500,000 XAF",2,Yes,1.9,Medium,30,66223.33333333333,116900.0,39664.8344501023,21386.0,6,2.126,0.2,11.5,2.61,17,172843.0,8,2,3,2,1,1,1,False,False,True,False,True,False
USER_053,34,Male,Ngaoundéré - Adamaoua,rural,Farmer,Vocational,"50,000-100,000 XAF",3,No,4.3,High,92,23138.043478260868,68000.0,18919.347864090996,26398.0,19,1.139,0.207,11.9,7.73,5,178857.0,8,3,1,0,2,1,0,False,True,False,False,False,True
USER_054,43,Male,Douala - Littoral,urban,Farmer,Vocational,"100,000-200,000 XAF",1,Yes,1.5,Medium,26,30073.076923076922,79000.0,26154.28924964022,10668.0,8,2.634,0.308,11.0,2.36,5,70972.0,7,3,2,2,1,1,1,False,False,True,False,True,False
USER_055,27,Male,Yaoundé - Centre,urban,IT Professional,University,"50,000-100,000 XAF",6,No,5.2,Medium,57,21698.245614035088,64800.0,16045.36527683829,17494.0,20,0.81,0.351,11.4,5.0,7,108491.0,8,4,1,2,1,1,0,False,False,True,False,False,True
USER_056,55,Female,Bafoussam - Ouest,urban,Unemployed,Secondary,"100,000-200,000 XAF",3,Yes,1.2,Low,8,17312.5,55800.0,19239.203837106,1710.0,4,3.711,0.5,9.1,0.88,90,15235.0,5,2,2,2,0,0,1,False,False,True,False,True,False
USER_057,45,Male,Garoua - Nord,suburban,Farmer,Secondary,"100,000-200,000 XAF",3,Yes,4.9,Low,10,28020.0,71900.0,24370.875149562347,3654.0,4,16.863,0.4,8.8,1.14,21,31943.0,7,2,2,1,0,1,1,False,True,False,False,True,False
USER_058,22,Male,Yaoundé - Centre,urban,Driver/Transport,Vocational,"50,000-100,000 XAF",1,No,1.3,Medium,28,18414.285714285714,66200.0,17729.316886126133,6678.0,10,0.608,0.357,11.7,2.39,5,44010.0,8,3,1,2,1,1,0,True,False,False,True,False,False
USER_059,51,Female,Yaoundé - Centre,urban,Trader/Merchant,University,"200,000-500,000 XAF",5,No,2.0,High,57,45368.42105263158,116900.0,39191.353628678364,31710.0,18,0.803,0.316,11.3,5.04,3,228657.0,8,4,3,2,2,0,0,True,False,False,False,True,False
USER_060,45,Female,Douala - Littoral,urban,Unemployed,Secondary,"100,000-200,000 XAF",1,Yes,3.8,Low,15,28086.666666666668,84600.0,22407.806887864095,6245.0,4,1.207,0.267,10.8,1.39,21,39040.0,8,2,2,2,0,0,1,False,False,True,False,False,True
